SYMBOL,avg -log10(p)
PLEKHN1,1.548014111
PERM1,2.578511242
ISG15,2.390875352
AGRN,4.027750864
LOC105378948,2.665928435
RNF223,2.422256443
CHD5,2.035660214
RNF207,1.441363418
ZBTB48,2.259842662
KLHL21,1.637745126
PHF13,2.119117552
THAP3,2.616459497
DNAJC11,1.976595885
SLC45A1,2.265094402
RERE,2.409429022
SLC2A5,1.975335075
GPR157,1.758877063
SLC25A33,1.665305041
TMEM201,1.776763727
PIK3CD,1.620603825
C1orf167,1.709437189
MTHFR,1.506832515
CLCN6,1.538826177
KAZN,1.352313912
KLHDC7A,1.593442789
ALDH4A1,1.451979305
MICOS10,1.777257524
MICOS10-NBL1,1.822781041
NBL1,1.431563586
PLA2G5,3.18865963
PLA2G2D,1.322639461
PLA2G2C,2.746068487
FAM43B,1.339618394
SH2D5,1.331828488
HP1BP3,2.567868179
EIF4G3,3.451988491
WNT4,1.534349515
ID3,1.988302712
FUCA1,1.382726999
CNR2,1.35176688
PNRC2,4.198047765
SRSF10,2.461343379
MYOM3,2.323235577
RUNX3,1.403183064
MTFR1L,1.444144087
PAQR7,3.121455227
STMN1,2.185519333
ZDHHC18,1.365411903
GPN2,1.408123243
NUDC,1.670480088
THEMIS2,1.403809903
RPA2,1.66464241
ATP5IF1,1.425876093
SESN2,2.175900212
PHACTR4,3.395061511
RCC1,3.569070748
TRNAU1AP,2.822434644
TAF12,1.495175865
MATN1,2.225208266
LAPTM5,3.406498738
NKAIN1,1.660449189
SERINC2,1.3498188
TINAGL1,1.440069448
C1orf94,1.628248893
GJA4,1.724205085
RRAGC,1.440248935
AKIRIN1,2.233401279
TRIT1,2.860851392
CAP1,1.39995328
ZNF684,1.381658984
RIMS3,3.272720543
NFYC,2.184660802
RIMKLA,4.963650612
ZMYND12,2.612948486
PPCS,1.977241806
CCDC30,2.258840519
PPIH,1.46854663
P3H1,1.581648983
ERMAP,1.437469231
CDC20,1.669018362
PTPRF,2.437076974
KDM4A,1.853747898
ERI3,1.438838965
RNF220,1.780494063
FAF1,2.020934443
CDKN2C,1.750997425
TTC39A,1.616741318
EPS15,1.6850858
ACOT11,1.561900873
FAM151A,1.462546118
USP1,2.245605791
DOCK7,2.02792219
ANGPTL3,1.548290302
JAK1,1.734403977
LEPROT,1.516141799
MIER1,1.585120477
SLC35D1,1.850783899
GADD45A,1.394910538
PIGK,1.455795485
SAMD13,2.441519434
DNASE2B,1.409303028
CLCA4,1.677511939
LMO4,1.62475717
DIPK1A,1.733933018
CNN3,1.429702296
ALG14,2.430684625
AKNAD1,1.301473202
GPSM2,1.547738096
SLC6A17,1.333061033
TMIGD3,2.040949063
ADORA3,1.404086388
TRIM33,1.656492938
VANGL1,1.447270963
CD58,1.616435951
HSD3B1,2.281905393
LOC105369199,1.699578443
PDE4DIPP4,2.016919743
NBPF12,1.807209603
FCGR1A,1.452520666
ANP32E,1.709208817
S100A11,1.304133233
C1orf68,1.583858969
LCE1B,1.384670813
RAB13,1.494063575
HAX1,2.422830019
SLC50A1,1.454433127
DAP3,1.320508508
