SYMBOL,avg -log10(p)
IFNK,12.27832547
MOB3B,14.20481478
SCFD1,9.514483481
C9orf72,12.7273638
UNC13A,7.557403252
G2E3,7.728982742
TNIP1,8.281324881
TBK1,6.039653794
GPX3,7.007282205
BAG6,7.209313809
EFL1,5.460621079
CLCN3,5.378331103
SLC9A8,4.992354825
C12orf56,5.034126304
MEF2C,4.787511688
ACSL5,4.845702121
ATXN3,5.185389139
DHRS11,4.508751881
PRRC2A,6.092481154
GGNBP2,5.459191866
TSPAN31,4.664336752
ZNHIT3,5.464332387
ABHD16A,5.906543293
FSD2,3.868999855
TPP1,5.840553127
PTBP2,3.581177148
ATF6B,5.760500316
RESP18,5.666613188
XPOT,4.362136035
ZDHHC6,4.242828349
WHAMM,3.915377445
TSNAXIP1,5.550336506
ARL13B,5.526440045
EIF4ENIF1,5.452360648
HLA-DQA2,3.569394773
ERGIC1,4.918892915
PROS1,5.312096655
CSNK2B,5.288167473
GAK,3.630312638
MYO19,4.517061901
GFOD2,5.18527308
SLC12A4,5.14778237
NUTF2,5.141005891
FNBP1,4.589092585
RNF114,4.42175434
NR1I3,3.463210497
RANBP10,5.041431339
SFI1,4.980966836
DPEP3,4.979100327
STX19,4.971306772
PIGW,4.514900033
PRKCB,4.917969019
TOMM40L,4.913035426
SPATA2,4.36152288
ANXA6,4.83164986
LY6G6C,4.82666802
WIPI2,3.123872635
CARMIL2,4.77827287
PSKH1,4.761427038
HLA-B,4.731913696
SNAI1,4.071813063
CENPT,4.72776376
ZSWIM8,3.736243651
DCHS1,4.702962091
BCS1L,3.950127667
GPANK1,4.662381028
TMEM175,3.289282185
ATP5PD,4.582129902
ARHGEF25,4.107353031
SLC26A10,3.11954507
EDC4,4.465694613
GALNT3,3.716492815
FGFRL1,3.750655285
FLG,4.440320751
TRIP11,3.896386715
PLCD4,3.821865857
IDUA,3.773014321
MRM1,3.400907172
ZNF142,3.791017956
DLST,4.382685067
DHX33,3.443302774
RNF25,3.778359068
TMEM38B,4.347521581
DEGS1,4.116078187
